Letter	Written Word	How To Say It
A	Alpha	Al-fah
B	Bravo	Brah-voh
C	Charlie	Char-lee
D	Delta	Dell-tah
E	Echo	Eck-oh
F	Foxtrot	Foks-trot
G	Golf	Golf
H	Hotel	Hoh-tel
I	India	In-dee-ah
J	Juliet	Jew-lee-et
K	Kilo	Key-loh
L	Lima	Lee-mah
M	Mike	Mike
N	November	No-vem-ber
O	Oscar	Oss-car
P	Papa	Pah-pah
Q	Quebec	Keh-beck
R	Romeo	Row-me-oh
S	Sierra	See-air-rah
T	Tango	Tang-go
U	Uniform	Yoo-nih-form
V	Victor	Vik-tore
W	Whiskey	Wiss-key
X	Xray	Ecks-ray
Y	Yankee	Yang-key
Z	Zulu	Zoo-loo
0	Zero	Zee-ro
1	One	Wun
2	Two	Too
3	Three	Tree
4	Four	Fow-er
5	Five	Fife
6	Six	six
7	Seven	Sev-en
8	Eight	Ait
9	Nine	Nin-er
100	Hundred	Hun-dred
1000	Thousand	Tou-sand
